Date extracted,Rank,Title,Channel,Time posted,Views,Description,Video URL,Channel URL,Thumbnail URL
28/Dec/2021,23,"Rodezel, Barca, JCBG, Jaime, Hasvik - OTRA VEZ (Official Video)",Rodezel,2 days ago,748K views,OTRA VEZ ya disponible en todas las plataformas. Escucha OTRA VEZ en Spotify: https://open.spotify.com/album/7ieVSW0ouHc1fOmSUe93XC?si=P8gCgGTJQrSjkd8axAnMEQ Jaime: https://www.instagram.com/jaim...,https://www.youtube.com/watch?v=ZXpk7tv47kc,https://www.youtube.com/channel/UC1wWox4z6uCxxd-0JKmOMHA,https://i.ytimg.com/vi/ZXpk7tv47kc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgc-tZAiTPuwgwWOO1UBRYMDpk-g
28/Dec/2021,24,Cuando ABRES los REGALOS de NAVIDAD🎁🎄#shorts,YERRIKILLERXD,4 days ago,9.7M views,,https://www.youtube.com/shorts/N5Wx4uO_ETI,https://www.youtube.com/c/YERRIKILLERXD,https://i.ytimg.com/vi/N5Wx4uO_ETI/hq2.jpg
28/Dec/2021,25,ESTO HUELE MUY MAL !! - Rocket League Sideswipe | Fernanfloo,Fernanfloo,3 days ago,2.3M views,Gracias a EPIC por patrocinar este video!!. Descarga GRATIS el juego aquí → https://pixly.go2cloud.org/SH2s8 Mis redes sociales: Instagram → https://instagram.com/fernanfloo TIK...,https://www.youtube.com/watch?v=zuJ-13jwH6M,https://www.youtube.com/user/Fernanfloo,https://i.ytimg.com/vi/zuJ-13jwH6M/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQuH2KmXbD37YI3mHgEmNSxFsIuw
28/Dec/2021,26,Kaleb Di Masi ❌ DJ Tao - Air Force (Video Oficial),KALEB DI MASI,4 days ago,951K views,👉 KALEB DI MASI: https://www.instagram.com/kalebdimasibaby/ Prod by 👉 DJ TAO: https://www.instagram.com/djtao.ok/ Letra: Kaleb Di Masi Baby DJ Tao Hoy se pone turra la wacha y se...,https://www.youtube.com/watch?v=Xj20CM2w8Ek,https://www.youtube.com/channel/UCkhYQOiA7AlkGJUQlL8pmSA,https://i.ytimg.com/vi/Xj20CM2w8Ek/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDluHmbGjOHI1g3tp1r-DNBr2d-Hw
28/Dec/2021,27,Le regalé un LAMBORGHINI en su cumpleaños 🎂😱 Kimberly Loaiza,Kimberly Loaiza,4 days ago,10M views,LINDURAS GRACIAS POR VER ESTE VIDEO ME ENCANTARIA QUE LE DIERAN LIKE Y LO COMPARTIERAN FUERA DE GRAN AYUDA ✨ Sígueme en mis redes sociales ✨ Instagram: https://www.instagram.com/kimberl...,https://www.youtube.com/watch?v=MO8Be-IAqps,https://www.youtube.com/c/KimberlyLoaiza,https://i.ytimg.com/vi/MO8Be-IAqps/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqVQXcuaYLV9SjANpFt8TohKln9A
28/Dec/2021,28,PREPARÉ UN PASTEL PARA EL SUPER TRUCHA Y DESTRUÍ LA COCINA 😰 Cecia Loaiza✨,Cecia Loaiza,2 days ago,561K views,"✨ HELLO TO EVERYBODY ✨ Plebones espero que les haya dado gusto el tenerme de nuevo por acá, me encantaría que te suscribieras a mi canal y me escribas acá abajo que videos te gustaría...",https://www.youtube.com/watch?v=JwyLpn339Vs,https://www.youtube.com/channel/UCEv3u4RVNiQtNg4Usx0qyYA,https://i.ytimg.com/vi/JwyLpn339Vs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKYqMU2Sir_1BUgJkrp0z1oz3Q3Q
28/Dec/2021,29,Kep1er 케플러 | 1st Mini Album ‘FIRST IMPACT' Connection Film,Kep1er,1 day ago,737K views,Kep1er 케플러 | 1st Mini Album ‘FIRST IMPACT' Connection Film 2022.1.3(MON) 6PM(KST) Kep1er Official Instagram : https://www.instagram.com/official.kep1er/ Twitter : https://twitter.com/off...,https://www.youtube.com/watch?v=qgINd69JKbs,https://www.youtube.com/c/Kep1er_Offcl,https://i.ytimg.com/vi/qgINd69JKbs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSrHQKA1eTcPZCyPWuyoi1RSU4tA
28/Dec/2021,30,La Resurrección de Matrix en Latinoamérica | enchufetv,enchufetv,1 day ago,735K views,"Neo aprendió a esquivar balas en Latinoamérica😎 no tengo pruebas pero tampoco dudas 🙃 #Sketchenchufetv #enchufetv Si te roban en la Matrix, te roban en Latinoamérica. ¡No, esperen!...",https://www.youtube.com/watch?v=ELgv5uf_0XQ,https://www.youtube.com/c/enchufetv,https://i.ytimg.com/vi/ELgv5uf_0XQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjh8b5YU01ZeQy9ERju2JFfLFE2w
28/Dec/2021,31,XI'AN: ¿EL PEOR CONFINAMIENTO DE CHINA DESDE WUHAN? | Jabiertzo,Jabiertzo,1 day ago,220K views,"En este vídeo hablamos de cómo está la situación en Xi’an, una ciudad de 13 millones de habitantes a la que se ha aplicado un confinamiento casi total. Veremos qué restricciones tienen...",https://www.youtube.com/watch?v=0iG5-mm-px8,https://www.youtube.com/c/Jabiertzo,https://i.ytimg.com/vi/0iG5-mm-px8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBYqy7SxNCBHjaxV2cu66kptw-Tpg
28/Dec/2021,32,ALL ANIMATRONICS EXPLAINED in FNAF Security Breach 🚨 SCORING The JUMPSCARE,NintenDúo,3 days ago,797K views,These are all the animatronics and references to animatronics that you can find in FNAF Security Breach. We also take a look at all their jumpscare and rate them. ⭐️ Join our NINTENDERA...,https://www.youtube.com/watch?v=HBr8EL-NRmY,https://www.youtube.com/c/NintenD%C3%BAoES,https://i.ytimg.com/vi/HBr8EL-NRmY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFtjaCnZ3MiC51myg9BEWpprwkrQ
